"GTEXID","Age","LTA4H"
"GTEX-13FTW-1126-SM-5J2NV","40-49",4.188195172
"GTEX-13NYB-1026-SM-5IFH3","40-49",3.739329676
"GTEX-14AS3-0126-SM-5Q5F4","40-49",4.603359292
"GTEX-14JG1-1626-SM-664NH","40-49",4.098444824
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",4.113400462
"GTEX-15RJE-1126-SM-6LPI5","40-49",3.643417544
"GTEX-15SHU-1826-SM-7KUKS","40-49",3.513364409
"GTEX-15UF7-0426-SM-HAV2G","40-49",4.710371149
"GTEX-17EVP-1026-SM-7IGOZ","40-49",3.273126444
"GTEX-17MF6-1126-SM-7DUFS","40-49",4.445044652
"GTEX-1B932-1426-SM-793AN","40-49",4.782350898
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",3.179928193
"GTEX-1EN7A-2026-SM-7MGY4","40-49",4.013953496
"GTEX-1GF9X-0426-SM-7MKHN","40-49",4.374684798
"GTEX-1H11D-0826-SM-9OSWB","40-49",4.810921181
"GTEX-1H1DF-1326-SM-9WPPR","40-49",3.001461791
"GTEX-1HBPH-2626-SM-A96TV","40-49",3.587869006
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",4.066123642
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",3.222303796
"GTEX-1MJIX-0726-SM-DPRYP","40-49",2.821771431
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",4.018358213
"GTEX-P78B-1326-SM-3P611","40-49",4.613614158
"GTEX-Q2AG-1126-SM-48U1P","40-49",3.446640015
"GTEX-Q734-0326-SM-48U15","40-49",4.950739011
"GTEX-RWSA-1426-SM-47JXA","40-49",3.825327718
"GTEX-UPK5-1426-SM-4JBHH","40-49",4.398069849
"GTEX-W5X1-0126-SM-HLJRF","40-49",4.809296101
"GTEX-WFON-1726-SM-4LVMQ","40-49",4.440161555
"GTEX-WYVS-1926-SM-4PQZ2","40-49",4.834817382
"GTEX-WZTO-0626-SM-4PQYY","40-49",3.525880949
"GTEX-X3Y1-2726-SM-4PQZH","40-49",3.788268083
"GTEX-Y5LM-0426-SM-4VBRO","40-49",4.584836259
"GTEX-YB5E-0326-SM-5IFHU","40-49",4.066123642
"GTEX-YEC4-0826-SM-5P9FV","40-49",3.177555877
"GTEX-YFC4-1526-SM-5IFJS","40-49",4.283329168
"GTEX-Z9EW-0426-SM-5CVM9","40-49",4.122697564
"GTEX-ZAB4-0826-SM-5LU9D","40-49",4.126535159
"GTEX-ZPU1-0826-SM-57WG2","40-49",4.515012226
"GTEX-11DXZ-0126-SM-5EGGY","50-59",4.05165922
"GTEX-11NUK-1226-SM-5P9GM","50-59",3.727452183
"GTEX-11ZVC-0726-SM-5FQT9","50-59",3.579071507
"GTEX-12WSG-0626-SM-5FQTQ","50-59",4.721060899
"GTEX-12WSI-0226-SM-5GCNA","50-59",3.582146499
"GTEX-12WSL-0226-SM-5CVMJ","50-59",4.188044796
"GTEX-13112-1426-SM-5EGH8","50-59",3.711869298
"GTEX-131XE-0326-SM-5LZVO","50-59",4.066123642
"GTEX-131XH-0626-SM-5LZWH","50-59",3.343834172
"GTEX-132AR-0426-SM-5IFH8","50-59",4.066123642
"GTEX-139YR-0226-SM-5IFEM","50-59",4.849639041
"GTEX-13FLV-0326-SM-5N9DJ","50-59",4.23914596
"GTEX-13N11-0926-SM-5IJG2","50-59",5.004820458
