"GTEXID","Age","PRXL2B"
"GTEX-13FTW-1126-SM-5J2NV","40-49",3.018906523
"GTEX-13NYB-1026-SM-5IFH3","40-49",3.286755498
"GTEX-14AS3-0126-SM-5Q5F4","40-49",2.54630183
"GTEX-14JG1-1626-SM-664NH","40-49",2.337879468
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",3.059407197
"GTEX-15RJE-1126-SM-6LPI5","40-49",2.62301232
"GTEX-15SHU-1826-SM-7KUKS","40-49",1.870660627
"GTEX-15UF7-0426-SM-HAV2G","40-49",2.392131921
"GTEX-17EVP-1026-SM-7IGOZ","40-49",1.842126032
"GTEX-17MF6-1126-SM-7DUFS","40-49",2.200651867
"GTEX-1B932-1426-SM-793AN","40-49",3.072217301
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",1.480751109
"GTEX-1EN7A-2026-SM-7MGY4","40-49",2.130878168
"GTEX-1GF9X-0426-SM-7MKHN","40-49",2.482091896
"GTEX-1H11D-0826-SM-9OSWB","40-49",3.086967148
"GTEX-1H1DF-1326-SM-9WPPR","40-49",1.77204188
"GTEX-1HBPH-2626-SM-A96TV","40-49",2.154774372
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",2.392131921
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",1.625901677
"GTEX-1MJIX-0726-SM-DPRYP","40-49",2.459179781
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",1.807412629
"GTEX-P78B-1326-SM-3P611","40-49",2.810739222
"GTEX-Q2AG-1126-SM-48U1P","40-49",2.3652726
"GTEX-Q734-0326-SM-48U15","40-49",3.497471857
"GTEX-RWSA-1426-SM-47JXA","40-49",1.888967245
"GTEX-UPK5-1426-SM-4JBHH","40-49",2.821704093
"GTEX-W5X1-0126-SM-HLJRF","40-49",2.392131921
"GTEX-WFON-1726-SM-4LVMQ","40-49",2.634395785
"GTEX-WYVS-1926-SM-4PQZ2","40-49",2.967825235
"GTEX-WZTO-0626-SM-4PQYY","40-49",1.960908286
"GTEX-X3Y1-2726-SM-4PQZH","40-49",2.461332101
"GTEX-Y5LM-0426-SM-4VBRO","40-49",3.063627188
"GTEX-YB5E-0326-SM-5IFHU","40-49",3.465491309
"GTEX-YEC4-0826-SM-5P9FV","40-49",2.439133735
"GTEX-YFC4-1526-SM-5IFJS","40-49",1.876349953
"GTEX-Z9EW-0426-SM-5CVM9","40-49",2.117695043
"GTEX-ZAB4-0826-SM-5LU9D","40-49",3.00645243
"GTEX-ZPU1-0826-SM-57WG2","40-49",2.325780713
"GTEX-11DXZ-0126-SM-5EGGY","50-59",2.304005718
"GTEX-11NUK-1226-SM-5P9GM","50-59",1.722706454
"GTEX-11ZVC-0726-SM-5FQT9","50-59",1.768065728
"GTEX-12WSG-0626-SM-5FQTQ","50-59",3.092638761
"GTEX-12WSI-0226-SM-5GCNA","50-59",3.308721999
"GTEX-12WSL-0226-SM-5CVMJ","50-59",2.656967658
"GTEX-13112-1426-SM-5EGH8","50-59",1.212239364
"GTEX-131XE-0326-SM-5LZVO","50-59",2.682020383
"GTEX-131XH-0626-SM-5LZWH","50-59",1.950628912
"GTEX-132AR-0426-SM-5IFH8","50-59",3.092696261
"GTEX-139YR-0226-SM-5IFEM","50-59",3.20997732
"GTEX-13FLV-0326-SM-5N9DJ","50-59",1.855894046
"GTEX-13N11-0926-SM-5IJG2","50-59",2.392131921
"GTEX-13NZ9-1326-SM-5MR3V","50-59",2.392131921
"GTEX-13OVJ-1026-SM-5IFGI","50-59",2.392131921
"GTEX-13OVL-0726-SM-HAV29","50-59",2.345646171
"GTEX-13OW6-2626-SM-5IFF2","50-59",2.279928844
