"GTEXID","Age","PTGDS"
"GTEX-13FTW-1126-SM-5J2NV","40-49",4.393127852
"GTEX-13NYB-1026-SM-5IFH3","40-49",4.732513427
"GTEX-14AS3-0126-SM-5Q5F4","40-49",2.594204555
"GTEX-14JG1-1626-SM-664NH","40-49",4.315073462
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",4.003872042
"GTEX-15RJE-1126-SM-6LPI5","40-49",4.742388938
"GTEX-15SHU-1826-SM-7KUKS","40-49",2.940940993
"GTEX-15UF7-0426-SM-HAV2G","40-49",4.066864162
"GTEX-17EVP-1026-SM-7IGOZ","40-49",4.138658856
"GTEX-17MF6-1126-SM-7DUFS","40-49",5.314341245
"GTEX-1B932-1426-SM-793AN","40-49",3.769496713
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",4.301872938
"GTEX-1EN7A-2026-SM-7MGY4","40-49",5.712502239
"GTEX-1GF9X-0426-SM-7MKHN","40-49",2.904819323
"GTEX-1H11D-0826-SM-9OSWB","40-49",2.482202926
"GTEX-1H1DF-1326-SM-9WPPR","40-49",2.525815817
"GTEX-1HBPH-2626-SM-A96TV","40-49",4.212265827
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",4.212265827
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",5.104386986
"GTEX-1MJIX-0726-SM-DPRYP","40-49",3.045145874
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",5.835077708
"GTEX-P78B-1326-SM-3P611","40-49",2.234016866
"GTEX-Q2AG-1126-SM-48U1P","40-49",5.76656071
"GTEX-Q734-0326-SM-48U15","40-49",5.652136534
"GTEX-RWSA-1426-SM-47JXA","40-49",5.730914341
"GTEX-UPK5-1426-SM-4JBHH","40-49",3.754855442
"GTEX-W5X1-0126-SM-HLJRF","40-49",4.90741468
"GTEX-WFON-1726-SM-4LVMQ","40-49",3.68467289
"GTEX-WYVS-1926-SM-4PQZ2","40-49",5.282198841
"GTEX-WZTO-0626-SM-4PQYY","40-49",3.011978603
"GTEX-X3Y1-2726-SM-4PQZH","40-49",4.876379424
"GTEX-Y5LM-0426-SM-4VBRO","40-49",2.312511255
"GTEX-YB5E-0326-SM-5IFHU","40-49",3.386341925
"GTEX-YEC4-0826-SM-5P9FV","40-49",3.058829055
"GTEX-YFC4-1526-SM-5IFJS","40-49",3.235480463
"GTEX-Z9EW-0426-SM-5CVM9","40-49",3.720508315
"GTEX-ZAB4-0826-SM-5LU9D","40-49",5.844541324
"GTEX-ZPU1-0826-SM-57WG2","40-49",2.321760733
"GTEX-11DXZ-0126-SM-5EGGY","50-59",1.791576554
"GTEX-11NUK-1226-SM-5P9GM","50-59",4.761088432
"GTEX-11ZVC-0726-SM-5FQT9","50-59",3.108562928
"GTEX-12WSG-0626-SM-5FQTQ","50-59",3.461764275
"GTEX-12WSI-0226-SM-5GCNA","50-59",4.212265827
"GTEX-12WSL-0226-SM-5CVMJ","50-59",3.315687947
"GTEX-13112-1426-SM-5EGH8","50-59",4.583753737
"GTEX-131XE-0326-SM-5LZVO","50-59",5.368450586
"GTEX-131XH-0626-SM-5LZWH","50-59",5.057710194
"GTEX-132AR-0426-SM-5IFH8","50-59",5.906176285
"GTEX-139YR-0226-SM-5IFEM","50-59",4.807705248
"GTEX-13FLV-0326-SM-5N9DJ","50-59",6.04015161
"GTEX-13N11-0926-SM-5IJG2","50-59",3.038163982
"GTEX-13NZ9-1326-SM-5MR3V","50-59",3.230616514
"GTEX-13OVJ-1026-SM-5IFGI","50-59",4.212265827
"GTEX-13OVL-0726-SM-HAV29","50-59",4.212265827
"GTEX-13OW6-2626-SM-5IFF2","50-59",4.463988577
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",5.564128145
"GTEX-13SLX-1226-SM-5S2Q6","50-59",5.765667341
"GTEX-13VXU-0926-SM-5IFFH","50-59",4.544571935
"GTEX-13X6J-1826-SM-5TDCT","50-59",4.192257302
"GTEX-144GL-1426-SM-5O9BO","50-59",4.099370956
"GTEX-145LU-1326-SM-5LU9N","50-59",4.383531504
"GTEX-145MF-0826-SM-5QGQA","50-59",3.889346985
"GTEX-146FH-1526-SM-5NQBU","50-59",5.595533498
"GTEX-147F4-1426-SM-5LUA8","50-59",4.212265827
"GTEX-14A5I-1726-SM-5QGQ5","50-59",2.200733464
"GTEX-14BIL-1326-SM-5O9CZ","50-59",5.768247855
"GTEX-14C38-1526-SM-5RQJ7","50-59",3.060073331
"GTEX-14E1K-0326-SM-5S2PE","50-59",2.74760223
"GTEX-14PHX-0526-SM-664NW","50-59",2.993458802
"GTEX-15SZO-1226-SM-6LPIP","50-59",3.204691641
"GTEX-17HGU-1826-SM-7IGQM","50-59",4.926317346
"GTEX-17HHE-0126-SM-79398","50-59",3.617145647
"GTEX-17HII-1026-SM-7IGLY","50-59",3.363689737
"GTEX-18465-1626-SM-7LG6N","50-59",4.341992861
"GTEX-18A7A-1526-SM-72D69","50-59",4.325264074
"GTEX-1A32A-0826-SM-72D5C","50-59",3.969067582
"GTEX-1A8FM-1226-SM-7IGMD","50-59",3.142763041
"GTEX-1AMFI-0826-SM-731DV","50-59",2.946506299
"GTEX-1B8SG-1326-SM-79ONT","50-59",5.155231116
