"GTEXID","Age","PTGES2"
"GTEX-13FTW-1126-SM-5J2NV","40-49",4.794525039
"GTEX-13NYB-1026-SM-5IFH3","40-49",4.203561393
"GTEX-14AS3-0126-SM-5Q5F4","40-49",3.943658824
"GTEX-14JG1-1626-SM-664NH","40-49",3.826172194
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",4.371565832
"GTEX-15RJE-1126-SM-6LPI5","40-49",3.955415105
"GTEX-15SHU-1826-SM-7KUKS","40-49",3.534173686
"GTEX-15UF7-0426-SM-HAV2G","40-49",4.366581002
"GTEX-17EVP-1026-SM-7IGOZ","40-49",3.837347881
"GTEX-17MF6-1126-SM-7DUFS","40-49",4.515737679
"GTEX-1B932-1426-SM-793AN","40-49",4.416339845
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",3.469925038
"GTEX-1EN7A-2026-SM-7MGY4","40-49",4.266419262
"GTEX-1GF9X-0426-SM-7MKHN","40-49",3.849639041
"GTEX-1H11D-0826-SM-9OSWB","40-49",4.265376883
"GTEX-1H1DF-1326-SM-9WPPR","40-49",3.769613076
"GTEX-1HBPH-2626-SM-A96TV","40-49",4.049735307
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",4.097092446
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",3.15480677
"GTEX-1MJIX-0726-SM-DPRYP","40-49",4.226030635
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",4.389160652
"GTEX-P78B-1326-SM-3P611","40-49",4.308673951
"GTEX-Q2AG-1126-SM-48U1P","40-49",3.668232611
"GTEX-Q734-0326-SM-48U15","40-49",4.145889361
"GTEX-RWSA-1426-SM-47JXA","40-49",3.719216303
"GTEX-UPK5-1426-SM-4JBHH","40-49",4.146761107
"GTEX-W5X1-0126-SM-HLJRF","40-49",5.021328698
"GTEX-WFON-1726-SM-4LVMQ","40-49",3.987302673
"GTEX-WYVS-1926-SM-4PQZ2","40-49",3.978561749
"GTEX-WZTO-0626-SM-4PQYY","40-49",3.712980888
"GTEX-X3Y1-2726-SM-4PQZH","40-49",3.971644711
"GTEX-Y5LM-0426-SM-4VBRO","40-49",4.792595103
"GTEX-YB5E-0326-SM-5IFHU","40-49",4.760327414
"GTEX-YEC4-0826-SM-5P9FV","40-49",4.609506771
"GTEX-YFC4-1526-SM-5IFJS","40-49",4.754785976
"GTEX-Z9EW-0426-SM-5CVM9","40-49",3.807870078
"GTEX-ZAB4-0826-SM-5LU9D","40-49",3.87521978
"GTEX-ZPU1-0826-SM-57WG2","40-49",4.135395322
"GTEX-11DXZ-0126-SM-5EGGY","50-59",3.686310023
"GTEX-11NUK-1226-SM-5P9GM","50-59",3.810114013
"GTEX-11ZVC-0726-SM-5FQT9","50-59",3.650396947
"GTEX-12WSG-0626-SM-5FQTQ","50-59",4.097092446
"GTEX-12WSI-0226-SM-5GCNA","50-59",4.150754622
"GTEX-12WSL-0226-SM-5CVMJ","50-59",4.041786169
"GTEX-13112-1426-SM-5EGH8","50-59",3.140845718
"GTEX-131XE-0326-SM-5LZVO","50-59",3.878391845
"GTEX-131XH-0626-SM-5LZWH","50-59",3.633954252
"GTEX-132AR-0426-SM-5IFH8","50-59",4.46008724
"GTEX-139YR-0226-SM-5IFEM","50-59",4.428946345
"GTEX-13FLV-0326-SM-5N9DJ","50-59",3.651602825
"GTEX-13N11-0926-SM-5IJG2","50-59",4.097092446
"GTEX-13NZ9-1326-SM-5MR3V","50-59",4.097092446
"GTEX-13OVJ-1026-SM-5IFGI","50-59",4.976496534
"GTEX-13OVL-0726-SM-HAV29","50-59",4.050597468
"GTEX-13OW6-2626-SM-5IFF2","50-59",4.150137204
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",4.022101445
"GTEX-13SLX-1226-SM-5S2Q6","50-59",5.010081592
"GTEX-13VXU-0926-SM-5IFFH","50-59",3.508910316
"GTEX-13X6J-1826-SM-5TDCT","50-59",2.963437131
"GTEX-144GL-1426-SM-5O9BO","50-59",3.192411974
"GTEX-145LU-1326-SM-5LU9N","50-59",3.302775259
"GTEX-145MF-0826-SM-5QGQA","50-59",4.467135986
"GTEX-146FH-1526-SM-5NQBU","50-59",4.795948728
"GTEX-147F4-1426-SM-5LUA8","50-59",4.339116001
"GTEX-14A5I-1726-SM-5QGQ5","50-59",4.008845403
"GTEX-14BIL-1326-SM-5O9CZ","50-59",3.769581342
"GTEX-14C38-1526-SM-5RQJ7","50-59",4.666535059
"GTEX-14E1K-0326-SM-5S2PE","50-59",3.843782898
"GTEX-14PHX-0526-SM-664NW","50-59",4.294583992
"GTEX-15SZO-1226-SM-6LPIP","50-59",4.203483089
"GTEX-17HGU-1826-SM-7IGQM","50-59",3.889629291
"GTEX-17HHE-0126-SM-79398","50-59",4.580344505
"GTEX-17HII-1026-SM-7IGLY","50-59",3.685648665
"GTEX-18465-1626-SM-7LG6N","50-59",3.642378113
"GTEX-18A7A-1526-SM-72D69","50-59",4.095435002
"GTEX-1A32A-0826-SM-72D5C","50-59",4.179662318
"GTEX-1A8FM-1226-SM-7IGMD","50-59",4.217618485
"GTEX-1AMFI-0826-SM-731DV","50-59",4.320643525
"GTEX-1B8SG-1326-SM-79ONT","50-59",4.097092446
"GTEX-1B933-1226-SM-731DW","50-59",4.039910433
"GTEX-1C6VQ-1626-SM-79OO1","50-59",4.821929561
"GTEX-1E2YA-1226-SM-7MGY3","50-59",4.563591362
"GTEX-1F75A-1626-SM-9JGGT","50-59",2.289288557
"GTEX-1GN1U-0926-SM-9WPPY","50-59",3.979705275
"GTEX-1GZ4I-1526-SM-9OSW9","50-59",3.951690361
"GTEX-1HB9E-0626-SM-AHZ4K","50-59",4.166739543
"GTEX-1HBPI-1026-SM-AHZ4N","50-59",3.929781531
"GTEX-1HCU7-1726-SM-B2LX9","50-59",4.134327741
"GTEX-1HCVE-1526-SM-B2LWW","50-59",4.013346125
"GTEX-1ICLY-1526-SM-C1YS4","50-59",4.320679624
"GTEX-1JMLX-1326-SM-CXZJO","50-59",3.840563942
"GTEX-1K9T9-0726-SM-CXZJZ","50-59",4.59993069
"GTEX-1KAFJ-0726-SM-CXZKF","50-59",4.011173573
"GTEX-1KANB-2226-SM-DHXJW","50-59",4.418621747
"GTEX-1KD5A-1226-SM-CXZK7","50-59",4.005220313
"GTEX-1LB8K-1926-SM-HLJQQ","50-59",3.635394543
"GTEX-1LGRB-0626-SM-CNNQH","50-59",4.810910901
"GTEX-1LH75-0926-SM-EAZ5C","50-59",4.955168638
"GTEX-1LSNL-2026-SM-HLJQ4","50-59",3.765481705
"GTEX-1OJC4-1126-SM-HLJQI","50-59",3.74048508
"GTEX-1QP66-0226-SM-DPRXS","50-59",3.960446839
"GTEX-1S3DN-1126-SM-HLJQO","50-59",4.043746947
"GTEX-O5YW-0826-SM-HK7A3","50-59",4.396159489
"GTEX-OHPM-0826-SM-HLJRC","50-59",4.017262749
"GTEX-OXRK-1226-SM-HLJR8","50-59",3.760306122
"GTEX-QDVN-0826-SM-48TZ2","50-59",4.688236319
"GTEX-QEL4-1226-SM-447A4","50-59",4.522915735
"GTEX-QV44-0326-SM-C1YQX","50-59",3.812272305
"GTEX-QXCU-1826-SM-HLJS6","50-59",4.550309679
"GTEX-R53T-0326-SM-48FEC","50-59",4.766001425
"GTEX-RM2N-1926-SM-48FCU","50-59",4.262357984
"GTEX-RN64-1826-SM-48FDV","50-59",4.008235876
"GTEX-RNOR-1426-SM-48FDJ","50-59",3.583158004
"GTEX-RU72-1426-SM-46MUF","50-59",4.15363512
"GTEX-S32W-1926-SM-4AD63","50-59",4.097092446
"GTEX-S7SE-1326-SM-HLJRN","50-59",4.233972399
"GTEX-SIU8-1226-SM-HLJRG","50-59",4.612729933
"GTEX-T6MN-1226-SM-3NMA5","50-59",4.049874681
"GTEX-TKQ2-1726-SM-4DXUP","50-59",4.015345913
"GTEX-VUSG-0126-SM-4KL1X","50-59",3.630358872
"GTEX-WK11-1326-SM-4M9QU","50-59",3.344785897
"GTEX-WL46-1726-SM-HAUZC","50-59",4.148527425
"GTEX-WVLH-2126-SM-EYYWD","50-59",3.84000996
"GTEX-WWYW-1026-SM-GQ1CM","50-59",3.26317416
"GTEX-WY7C-0726-SM-4ONCB","50-59",4.500145554
"GTEX-X261-1726-SM-4PQYT","50-59",3.890427236
"GTEX-XBEC-1526-SM-4AT68","50-59",4.042048928
"GTEX-XPVG-1126-SM-HLJRE","50-59",4.431810137
"GTEX-XXEK-1126-SM-4BRUX","50-59",4.371558863
"GTEX-Y111-0726-SM-EYYVM","50-59",3.633070782
"GTEX-Y3IK-0326-SM-HLJRD","50-59",4.333201874
"GTEX-ZAB5-0426-SM-5CVMI","50-59",3.791730736
"GTEX-ZEX8-0826-SM-4WKHK","50-59",4.247517426
"GTEX-ZF2S-3026-SM-4WWCH","50-59",3.688146781
"GTEX-ZVP2-0626-SM-51MSO","50-59",4.321502437
"GTEX-ZVT4-0626-SM-5E45T","50-59",3.767675983
"GTEX-ZZPU-0426-SM-5GZYH","50-59",4.4257077
"GTEX-111FC-1226-SM-HAV27","60-69",3.29517934
"GTEX-11DXY-0526-SM-5EGGQ","60-69",3.700750419
"GTEX-11EMC-0326-SM-HAV2K","60-69",4.786345437
"GTEX-11GSP-0626-SM-5986T","60-69",3.43909117
"GTEX-11NV4-1326-SM-5HL6V","60-69",3.596481993
"GTEX-11OF3-0726-SM-5BC4Z","60-69",3.852458348
"GTEX-11TUW-1726-SM-5BC5C","60-69",4.119854145
"GTEX-11WQC-0726-SM-5EQMR","60-69",3.847255331
"GTEX-11ZTS-1426-SM-5EQMM","60-69",3.783812831
"GTEX-1212Z-0226-SM-59HLF","60-69",4.125915549
"GTEX-12696-0826-SM-5EGGE","60-69",4.969343923
"GTEX-1269C-0626-SM-5FQSS","60-69",3.791293149
"GTEX-12WSD-1426-SM-5GCN9","60-69",3.691232641
"GTEX-12WSM-0726-SM-5GCOW","60-69",3.596481993
"GTEX-12ZZZ-1326-SM-59HKW","60-69",1.699054066
"GTEX-13113-1326-SM-5GCOI","60-69",4.497171634
"GTEX-131YS-1626-SM-5HL6C","60-69",3.501349969
"GTEX-132NY-0926-SM-5P9G3","60-69",4.497765632
"GTEX-1399T-0826-SM-5IFES","60-69",3.949665657
"GTEX-139TS-1426-SM-5IFJD","60-69",4.482474011
"GTEX-139TU-0826-SM-5IJFG","60-69",4.020422193
"GTEX-13FTZ-0726-SM-5IFFY","60-69",4.046700587
"GTEX-13G51-0626-SM-HK7AV","60-69",4.461377943
"GTEX-13N2G-0926-SM-5IFGJ","60-69",3.853057491
"GTEX-13O1R-2026-SM-5KM3N","60-69",4.097092446
