"GTEXID","Age","TBXAS1"
"GTEX-13FTW-1126-SM-5J2NV","40-49",1.422276066
"GTEX-13NYB-1026-SM-5IFH3","40-49",0.08153052
"GTEX-14AS3-0126-SM-5Q5F4","40-49",0.526739909
"GTEX-14JG1-1626-SM-664NH","40-49",-0.506461282
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",1.734447337
"GTEX-15RJE-1126-SM-6LPI5","40-49",-0.309398752
"GTEX-15SHU-1826-SM-7KUKS","40-49",-1.131376443
"GTEX-15UF7-0426-SM-HAV2G","40-49",0.243047516
"GTEX-17EVP-1026-SM-7IGOZ","40-49",-1.018138581
"GTEX-17MF6-1126-SM-7DUFS","40-49",0.243047516
"GTEX-1B932-1426-SM-793AN","40-49",1.993058391
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",0.24121783
"GTEX-1EN7A-2026-SM-7MGY4","40-49",-0.160509566
"GTEX-1GF9X-0426-SM-7MKHN","40-49",1.856635179
"GTEX-1H11D-0826-SM-9OSWB","40-49",1.467258609
"GTEX-1H1DF-1326-SM-9WPPR","40-49",-1.432820627
"GTEX-1HBPH-2626-SM-A96TV","40-49",-0.767432561
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",2.11196609
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",-0.920322201
"GTEX-1MJIX-0726-SM-DPRYP","40-49",0.607067497
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",-1.440193006
"GTEX-P78B-1326-SM-3P611","40-49",0.588468794
"GTEX-Q2AG-1126-SM-48U1P","40-49",0.705986746
"GTEX-Q734-0326-SM-48U15","40-49",1.645360425
"GTEX-RWSA-1426-SM-47JXA","40-49",-0.110395628
"GTEX-UPK5-1426-SM-4JBHH","40-49",1.853911837
"GTEX-W5X1-0126-SM-HLJRF","40-49",0.969903813
"GTEX-WFON-1726-SM-4LVMQ","40-49",1.813729894
"GTEX-WYVS-1926-SM-4PQZ2","40-49",0.243047516
"GTEX-WZTO-0626-SM-4PQYY","40-49",-1.246867882
"GTEX-X3Y1-2726-SM-4PQZH","40-49",1.890127572
"GTEX-Y5LM-0426-SM-4VBRO","40-49",1.728543129
"GTEX-YB5E-0326-SM-5IFHU","40-49",0.243047516
"GTEX-YEC4-0826-SM-5P9FV","40-49",0.837337788
"GTEX-YFC4-1526-SM-5IFJS","40-49",-0.145867074
"GTEX-Z9EW-0426-SM-5CVM9","40-49",1.350814039
"GTEX-ZAB4-0826-SM-5LU9D","40-49",2.00183106
"GTEX-ZPU1-0826-SM-57WG2","40-49",1.443007172
"GTEX-11DXZ-0126-SM-5EGGY","50-59",0.98260485
"GTEX-11NUK-1226-SM-5P9GM","50-59",-1.017852264
"GTEX-11ZVC-0726-SM-5FQT9","50-59",-0.782883463
"GTEX-12WSG-0626-SM-5FQTQ","50-59",1.402422039
"GTEX-12WSI-0226-SM-5GCNA","50-59",-1.493194976
"GTEX-12WSL-0226-SM-5CVMJ","50-59",0.900289131
"GTEX-13112-1426-SM-5EGH8","50-59",-1.251078552
"GTEX-131XE-0326-SM-5LZVO","50-59",0.243047516
"GTEX-131XH-0626-SM-5LZWH","50-59",-0.861447625
"GTEX-132AR-0426-SM-5IFH8","50-59",2.117026727
"GTEX-139YR-0226-SM-5IFEM","50-59",0.243047516
"GTEX-13FLV-0326-SM-5N9DJ","50-59",0.535117333
"GTEX-13N11-0926-SM-5IJG2","50-59",2.149906417
"GTEX-13NZ9-1326-SM-5MR3V","50-59",0.823333609
"GTEX-13OVJ-1026-SM-5IFGI","50-59",1.418708091
"GTEX-13OVL-0726-SM-HAV29","50-59",0.111592251
"GTEX-13OW6-2626-SM-5IFF2","50-59",-0.053595514
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",-0.495172179
"GTEX-13SLX-1226-SM-5S2Q6","50-59",0.336683287
"GTEX-13VXU-0926-SM-5IFFH","50-59",-1.45666646
"GTEX-13X6J-1826-SM-5TDCT","50-59",-1.684252937
"GTEX-144GL-1426-SM-5O9BO","50-59",-1.051171927
"GTEX-145LU-1326-SM-5LU9N","50-59",-0.885036029
"GTEX-145MF-0826-SM-5QGQA","50-59",-0.770643419
"GTEX-146FH-1526-SM-5NQBU","50-59",0.842101889
"GTEX-147F4-1426-SM-5LUA8","50-59",-0.538670519
"GTEX-14A5I-1726-SM-5QGQ5","50-59",0.035539457
"GTEX-14BIL-1326-SM-5O9CZ","50-59",-0.126523798
"GTEX-14C38-1526-SM-5RQJ7","50-59",1.158427516
"GTEX-14E1K-0326-SM-5S2PE","50-59",0.674650467
"GTEX-14PHX-0526-SM-664NW","50-59",1.46829136
"GTEX-15SZO-1226-SM-6LPIP","50-59",-0.50317568
"GTEX-17HGU-1826-SM-7IGQM","50-59",0.435233866
"GTEX-17HHE-0126-SM-79398","50-59",1.400559788
"GTEX-17HII-1026-SM-7IGLY","50-59",0.276425199
"GTEX-18465-1626-SM-7LG6N","50-59",-0.450384054
"GTEX-18A7A-1526-SM-72D69","50-59",-0.768990385
"GTEX-1A32A-0826-SM-72D5C","50-59",-0.025705649
"GTEX-1A8FM-1226-SM-7IGMD","50-59",-0.684109214
"GTEX-1AMFI-0826-SM-731DV","50-59",1.549619889
"GTEX-1B8SG-1326-SM-79ONT","50-59",0.179536528
"GTEX-1B933-1226-SM-731DW","50-59",-0.955261773
"GTEX-1C6VQ-1626-SM-79OO1","50-59",-0.164860124
"GTEX-1E2YA-1226-SM-7MGY3","50-59",1.436598953
"GTEX-1F75A-1626-SM-9JGGT","50-59",-0.759763838
"GTEX-1GN1U-0926-SM-9WPPY","50-59",0.526369342
"GTEX-1GZ4I-1526-SM-9OSW9","50-59",-0.217779333
"GTEX-1HB9E-0626-SM-AHZ4K","50-59",1.069633432
"GTEX-1HBPI-1026-SM-AHZ4N","50-59",-0.867217872
"GTEX-1HCU7-1726-SM-B2LX9","50-59",0.755220886
"GTEX-1HCVE-1526-SM-B2LWW","50-59",0.04194383
"GTEX-1ICLY-1526-SM-C1YS4","50-59",1.158589089
"GTEX-1JMLX-1326-SM-CXZJO","50-59",0.247866767
"GTEX-1K9T9-0726-SM-CXZJZ","50-59",1.351577449
"GTEX-1KAFJ-0726-SM-CXZKF","50-59",0.506053478
"GTEX-1KANB-2226-SM-DHXJW","50-59",-0.231445546
"GTEX-1KD5A-1226-SM-CXZK7","50-59",0.291261703
"GTEX-1LB8K-1926-SM-HLJQQ","50-59",0.003371963
"GTEX-1LGRB-0626-SM-CNNQH","50-59",2.026477851
"GTEX-1LH75-0926-SM-EAZ5C","50-59",0.418200745
"GTEX-1LSNL-2026-SM-HLJQ4","50-59",0.722247418
"GTEX-1OJC4-1126-SM-HLJQI","50-59",-1.295822112
"GTEX-1QP66-0226-SM-DPRXS","50-59",1.435991222
"GTEX-1S3DN-1126-SM-HLJQO","50-59",1.45964145
"GTEX-O5YW-0826-SM-HK7A3","50-59",0.205530144
"GTEX-OHPM-0826-SM-HLJRC","50-59",1.060690744
"GTEX-OXRK-1226-SM-HLJR8","50-59",1.150507687
"GTEX-QDVN-0826-SM-48TZ2","50-59",0.243047516
"GTEX-QEL4-1226-SM-447A4","50-59",1.873588805
"GTEX-QV44-0326-SM-C1YQX","50-59",1.264668534
"GTEX-QXCU-1826-SM-HLJS6","50-59",-0.410288278
"GTEX-R53T-0326-SM-48FEC","50-59",1.124420782
"GTEX-RM2N-1926-SM-48FCU","50-59",1.266018898
"GTEX-RN64-1826-SM-48FDV","50-59",-0.507014736
"GTEX-RNOR-1426-SM-48FDJ","50-59",-0.689236441
"GTEX-RU72-1426-SM-46MUF","50-59",0.443680906
"GTEX-S32W-1926-SM-4AD63","50-59",0.243047516
"GTEX-S7SE-1326-SM-HLJRN","50-59",-1.128468575
"GTEX-SIU8-1226-SM-HLJRG","50-59",-1.120507517
"GTEX-T6MN-1226-SM-3NMA5","50-59",-0.725300601
"GTEX-TKQ2-1726-SM-4DXUP","50-59",1.130318088
"GTEX-VUSG-0126-SM-4KL1X","50-59",0.304931523
"GTEX-WK11-1326-SM-4M9QU","50-59",-1.432146966
"GTEX-WL46-1726-SM-HAUZC","50-59",-1.311384548
"GTEX-WVLH-2126-SM-EYYWD","50-59",-1.231819911
"GTEX-WWYW-1026-SM-GQ1CM","50-59",0.554323617
"GTEX-WY7C-0726-SM-4ONCB","50-59",1.230012363
"GTEX-X261-1726-SM-4PQYT","50-59",-0.262489747
"GTEX-XBEC-1526-SM-4AT68","50-59",0.064827681
"GTEX-XPVG-1126-SM-HLJRE","50-59",0.243047516
"GTEX-XXEK-1126-SM-4BRUX","50-59",0.244874884
"GTEX-Y111-0726-SM-EYYVM","50-59",-0.980690922
"GTEX-Y3IK-0326-SM-HLJRD","50-59",1.534599524
"GTEX-ZAB5-0426-SM-5CVMI","50-59",1.348889585
"GTEX-ZEX8-0826-SM-4WKHK","50-59",0.914541563
"GTEX-ZF2S-3026-SM-4WWCH","50-59",1.632063431
"GTEX-ZVP2-0626-SM-51MSO","50-59",1.207711723
"GTEX-ZVT4-0626-SM-5E45T","50-59",-1.000023083
"GTEX-ZZPU-0426-SM-5GZYH","50-59",0.932098977
"GTEX-111FC-1226-SM-HAV27","60-69",-1.012344424
"GTEX-11DXY-0526-SM-5EGGQ","60-69",-0.777380887
"GTEX-11EMC-0326-SM-HAV2K","60-69",0.149779631
"GTEX-11GSP-0626-SM-5986T","60-69",-0.549081744
"GTEX-11NV4-1326-SM-5HL6V","60-69",-0.657438428
"GTEX-11OF3-0726-SM-5BC4Z","60-69",-1.185526686
"GTEX-11TUW-1726-SM-5BC5C","60-69",-0.750146939
"GTEX-11WQC-0726-SM-5EQMR","60-69",0.574275929
"GTEX-11ZTS-1426-SM-5EQMM","60-69",-1.021300614
"GTEX-1212Z-0226-SM-59HLF","60-69",-0.264860859
"GTEX-12696-0826-SM-5EGGE","60-69",-0.299018818
"GTEX-1269C-0626-SM-5FQSS","60-69",0.022928801
"GTEX-12WSD-1426-SM-5GCN9","60-69",0.163537375
"GTEX-12WSM-0726-SM-5GCOW","60-69",-0.396682492
"GTEX-12ZZZ-1326-SM-59HKW","60-69",-0.830154509
"GTEX-13113-1326-SM-5GCOI","60-69",0.555266452
