GTEXID,Age,ALOX5
GTEX-13FTW-1126-SM-5J2NV,40-49,1.21599533
GTEX-13NYB-1026-SM-5IFH3,40-49,-1.005352062
GTEX-14AS3-0126-SM-5Q5F4,40-49,0.110853087
GTEX-14JG1-1626-SM-664NH,40-49,-1.377867217
GTEX-15RJ7-2026-SM-6LPJ4,40-49,1.341778682
GTEX-15RJE-1126-SM-6LPI5,40-49,1.030941958
GTEX-15SHU-1826-SM-7KUKS,40-49,-1.380282561
GTEX-15UF7-0426-SM-HAV2G,40-49,0.249398923
GTEX-17EVP-1026-SM-7IGOZ,40-49,-0.07688584
GTEX-17MF6-1126-SM-7DUFS,40-49,0.249398923
GTEX-1B932-1426-SM-793AN,40-49,1.14880683
GTEX-1CAMQ-1426-SM-7MKFL,40-49,-0.12605137
GTEX-1EN7A-2026-SM-7MGY4,40-49,0.021560902
GTEX-1GF9X-0426-SM-7MKHN,40-49,1.027192762
GTEX-1H11D-0826-SM-9OSWB,40-49,-0.286791968
GTEX-1H1DF-1326-SM-9WPPR,40-49,-0.122177926
GTEX-1HBPH-2626-SM-A96TV,40-49,-0.677750055
GTEX-1J1OQ-0826-SM-CXZJG,40-49,0.249398923
GTEX-1KD4Q-1526-SM-D4P3L,40-49,-1.107168548
GTEX-1MJIX-0726-SM-DPRYP,40-49,0.249398923
GTEX-1QP6S-1326-SM-DPRZ8,40-49,-0.324567061
GTEX-P78B-1326-SM-3P611,40-49,0.706743647
GTEX-Q2AG-1126-SM-48U1P,40-49,0.288930817
GTEX-Q734-0326-SM-48U15,40-49,0.786750269
GTEX-RWSA-1426-SM-47JXA,40-49,0.084452849
GTEX-UPK5-1426-SM-4JBHH,40-49,1.002034021
GTEX-W5X1-0126-SM-HLJRF,40-49,0.579662847
GTEX-WFON-1726-SM-4LVMQ,40-49,1.386740158
GTEX-WYVS-1926-SM-4PQZ2,40-49,1.884442362
GTEX-WZTO-0626-SM-4PQYY,40-49,-1.562584878
GTEX-X3Y1-2726-SM-4PQZH,40-49,0.787085905
GTEX-Y5LM-0426-SM-4VBRO,40-49,0.700519157
GTEX-YB5E-0326-SM-5IFHU,40-49,0.249398923
GTEX-YEC4-0826-SM-5P9FV,40-49,0.781392082
GTEX-YFC4-1526-SM-5IFJS,40-49,1.238504348
GTEX-Z9EW-0426-SM-5CVM9,40-49,0.527061903
GTEX-ZAB4-0826-SM-5LU9D,40-49,0.249398923
GTEX-ZPU1-0826-SM-57WG2,40-49,0.459353517
GTEX-11DXZ-0126-SM-5EGGY,50-59,0.478504631
GTEX-11NUK-1226-SM-5P9GM,50-59,-0.659556438
GTEX-11ZVC-0726-SM-5FQT9,50-59,-1.079997931
GTEX-12WSG-0626-SM-5FQTQ,50-59,1.14227806
GTEX-12WSI-0226-SM-5GCNA,50-59,-0.859718483
GTEX-12WSL-0226-SM-5CVMJ,50-59,0.728180014
GTEX-13112-1426-SM-5EGH8,50-59,-0.636215683
GTEX-131XE-0326-SM-5LZVO,50-59,0.249398923
GTEX-131XH-0626-SM-5LZWH,50-59,-1.390232078
GTEX-132AR-0426-SM-5IFH8,50-59,1.441723482
GTEX-139YR-0226-SM-5IFEM,50-59,1.690824213
GTEX-13FLV-0326-SM-5N9DJ,50-59,-0.173372913
GTEX-13N11-0926-SM-5IJG2,50-59,1.405716673
GTEX-13NZ9-1326-SM-5MR3V,50-59,0.495018978
GTEX-13OVJ-1026-SM-5IFGI,50-59,0.249398923
GTEX-13OVL-0726-SM-HAV29,50-59,0.20182818
GTEX-13OW6-2626-SM-5IFF2,50-59,-0.748273854
GTEX-13PVQ-1526-SM-5IFEQ,50-59,1.168246474
GTEX-13SLX-1226-SM-5S2Q6,50-59,-0.576728916
GTEX-13VXU-0926-SM-5IFFH,50-59,-1.550690518
GTEX-13X6J-1826-SM-5TDCT,50-59,-1.440515968
GTEX-144GL-1426-SM-5O9BO,50-59,-1.586106218
GTEX-145LU-1326-SM-5LU9N,50-59,-0.773498781
GTEX-145MF-0826-SM-5QGQA,50-59,-0.800389335
GTEX-146FH-1526-SM-5NQBU,50-59,0.470924422
GTEX-147F4-1426-SM-5LUA8,50-59,0.105533481
GTEX-14A5I-1726-SM-5QGQ5,50-59,-1.201487787
GTEX-14BIL-1326-SM-5O9CZ,50-59,-0.293818273
GTEX-14C38-1526-SM-5RQJ7,50-59,1.467695522
GTEX-14E1K-0326-SM-5S2PE,50-59,-0.742769984
GTEX-14PHX-0526-SM-664NW,50-59,1.395748399
GTEX-15SZO-1226-SM-6LPIP,50-59,-0.402031312
GTEX-17HGU-1826-SM-7IGQM,50-59,0.289969111
GTEX-17HHE-0126-SM-79398,50-59,0.391700753
GTEX-17HII-1026-SM-7IGLY,50-59,0.753659945
GTEX-18465-1626-SM-7LG6N,50-59,-1.162034745
GTEX-18A7A-1526-SM-72D69,50-59,-1.271909265
GTEX-1A32A-0826-SM-72D5C,50-59,1.086998147
GTEX-1A8FM-1226-SM-7IGMD,50-59,-0.740118632
GTEX-1AMFI-0826-SM-731DV,50-59,0.669144497
GTEX-1B8SG-1326-SM-79ONT,50-59,1.589898051
GTEX-1B933-1226-SM-731DW,50-59,-0.786819091
GTEX-1C6VQ-1626-SM-79OO1,50-59,0.083036211
GTEX-1E2YA-1226-SM-7MGY3,50-59,0.249398923
GTEX-1F75A-1626-SM-9JGGT,50-59,-0.624555422
GTEX-1GN1U-0926-SM-9WPPY,50-59,0.495781722
GTEX-1GZ4I-1526-SM-9OSW9,50-59,-1.126272642
GTEX-1HB9E-0626-SM-AHZ4K,50-59,1.406224765
GTEX-1HBPI-1026-SM-AHZ4N,50-59,-0.278930172
GTEX-1HCU7-1726-SM-B2LX9,50-59,1.09211592
GTEX-1HCVE-1526-SM-B2LWW,50-59,0.211927997
