"GTEXID","Age","LTA4H"
"GTEX-13FTW-1126-SM-5J2NV","40-49",0.438213843986715
"GTEX-13NYB-1026-SM-5IFH3","40-49",-0.395016976620372
"GTEX-14AS3-0126-SM-5Q5F4","40-49",1.20888466515008
"GTEX-14JG1-1626-SM-664NH","40-49",0.271609913009112
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",0.299372123815002
"GTEX-15RJE-1126-SM-6LPI5","40-49",-0.573059051951854
"GTEX-15SHU-1826-SM-7KUKS","40-49",-0.81447720809049
"GTEX-15UF7-0426-SM-HAV2G","40-49",1.40753120451963
"GTEX-17EVP-1026-SM-7IGOZ","40-49",-1.26043190610525
"GTEX-17MF6-1126-SM-7DUFS","40-49",0.915004563924126
"GTEX-1B932-1426-SM-793AN","40-49",1.54114750129634
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",-1.43343619325116
"GTEX-1EN7A-2026-SM-7MGY4","40-49",0.114768321951236
"GTEX-1GF9X-0426-SM-7MKHN","40-49",0.78439528473325
"GTEX-1H11D-0826-SM-9OSWB","40-49",1.59418263222355
"GTEX-1H1DF-1326-SM-9WPPR","40-49",-1.76472409110565
"GTEX-1HBPH-2626-SM-A96TV","40-49",-0.676174025844309
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",0.21161197322349
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",-1.35477419143534
"GTEX-1MJIX-0726-SM-DPRYP","40-49",-2.0982840271048
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",0.122944815785487
"GTEX-P78B-1326-SM-3P611","40-49",1.22792081403775
"GTEX-Q2AG-1126-SM-48U1P","40-49",-0.938337968301675
"GTEX-Q734-0326-SM-48U15","40-49",1.8537270308565
"GTEX-RWSA-1426-SM-47JXA","40-49",-0.235378466320924
"GTEX-UPK5-1426-SM-4JBHH","40-49",0.827805048701093
"GTEX-W5X1-0126-SM-HLJRF","40-49",1.59116598970142
"GTEX-WFON-1726-SM-4LVMQ","40-49",0.905940051377112
"GTEX-WYVS-1926-SM-4PQZ2","40-49",1.63854124598659
"GTEX-WZTO-0626-SM-4PQYY","40-49",-0.791242704685129
"GTEX-X3Y1-2726-SM-4PQZH","40-49",-0.304172415416198
"GTEX-Y5LM-0426-SM-4VBRO","40-49",1.174500284697
