"GTEXID","Age","PRXL2B"
"GTEX-13FTW-1126-SM-5J2NV","40-49",1.16349510064875
"GTEX-13NYB-1026-SM-5IFH3","40-49",1.61775807944134
"GTEX-14AS3-0126-SM-5Q5F4","40-49",0.361973214542845
"GTEX-14JG1-1626-SM-664NH","40-49",0.00849580060423972
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",1.23218290060896
"GTEX-15RJE-1126-SM-6LPI5","40-49",0.492071661595101
"GTEX-15SHU-1826-SM-7KUKS","40-49",-0.783891859123331
"GTEX-15UF7-0426-SM-HAV2G","40-49",0.100506161691433
"GTEX-17EVP-1026-SM-7IGOZ","40-49",-0.83228558593651
"GTEX-17MF6-1126-SM-7DUFS","40-49",-0.224237659745273
"GTEX-1B932-1426-SM-793AN","40-49",1.25390841216518
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",-1.44516547089004
"GTEX-1EN7A-2026-SM-7MGY4","40-49",-0.342571539309744
"GTEX-1GF9X-0426-SM-7MKHN","40-49",0.253075295904496
"GTEX-1H11D-0826-SM-9OSWB","40-49",1.27892366352074
"GTEX-1H1DF-1326-SM-9WPPR","40-49",-0.951145983493275
"GTEX-1HBPH-2626-SM-A96TV","40-49",-0.302044369807322
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",0.100506161691433
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",-1.19899492126178
"GTEX-1MJIX-0726-SM-DPRYP","40-49",0.214217108710245
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",-0.891158366206837
"GTEX-P78B-1326-SM-3P611","40-49",0.810450261707435
"GTEX-Q2AG-1126-SM-48U1P","40-49",0.0549536440243176
"GTEX-Q734-0326-SM-48U15","40-49",1.97512603621499
"GTEX-RWSA-1426-SM-47JXA","40-49",-0.752844442106716
"GTEX-UPK5-1426-SM-4JBHH","40-49",0.82904631929002
"GTEX-W5X1-0126-SM-HLJRF","40-49",0.100506161691433
"GTEX-WFON-1726-SM-4LVMQ","40-49",0.511377640719648
"GTEX-WYVS-1926-SM-4PQZ2","40-49",1.07686293023465
"GTEX-WZTO-0626-SM-4PQYY","40-49",-0.630834822386874
"GTEX-X3Y1-2726-SM-4PQZH","40-49",0.217867372051797
"GTEX-Y5LM-0426-SM-4VBRO","40-49",1.23933986539533
"GTEX-YB5E-0326-SM-5IFHU","40-49",1.92088808739365
"GTEX-YEC4-0826-SM-5P9FV","40-49",0.180219679491137
"GTEX-YFC4-1526-SM-5IFJS","40-49",-0.77424295090525
"GTEX-Z9EW-0426-SM-5CVM9","40-49",-0.364929682111281
"GTEX-ZAB4-0826-SM-5LU9D","40-49",1.14237337194197
"GTEX-ZPU1-0826-SM-57WG2","40-49",-0.0120232866387926
"GTEX-11DXZ-0126-SM-5EGGY","50-59",-0.0489529560239137
"GTEX-11NUK-1226-SM-5P9GM","50-59",-1.03481722985426
"GTEX-11ZVC-0726-SM-5FQT9","50-59",-0.957889405422189
"GTEX-12WSG-0626-SM-5FQTQ","50-59",1.28854253107825
"GTEX-12WSI-0226-SM-5GCNA","50-59",1.65501253665145
"GTEX-12WSL-0226-SM-5CVMJ","50-59",0.549658788765512
"GTEX-13112-1426-SM-5EGH8","50-59",-1.90055248562285
"GTEX-131XE-0326-SM-5LZVO","50-59",0.592147379529659
"GTEX-131XH-0626-SM-5LZWH","50-59",-0.648268299790934
"GTEX-132AR-0426-SM-5IFH8","50-59",1.28864004917135
"GTEX-139YR-0226-SM-5IFEM","50-59",1.48754483578585
"GTEX-13FLV-0326-SM-5N9DJ","50-59",-0.808935490787936
"GTEX-13N11-0926-SM-5IJG2","50-59",0.100506161691433
"GTEX-13NZ9-1326-SM-5MR3V","50-59",0.100506161691433
"GTEX-13OVJ-1026-SM-5IFGI","50-59",0.100506161691433
"GTEX-13OVL-0726-SM-HAV29","50-59",0.0216678713212442
"GTEX-13OW6-2626-SM-5IFF2","50-59",-0.0897865358546883
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",-1.77972518543955
"GTEX-13SLX-1226-SM-5S2Q6","50-59",0.788561218244976
"GTEX-13VXU-0926-SM-5IFFH","50-59",-0.818803901209799
"GTEX-13X6J-1826-SM-5TDCT","50-59",-0.950272134884798
"GTEX-144GL-1426-SM-5O9BO","50-59",-1.2258341238952
"GTEX-145LU-1326-SM-5LU9N","50-59",-1.13557017957
"GTEX-145MF-0826-SM-5QGQA","50-59",-0.227300111157093
"GTEX-146FH-1526-SM-5NQBU","50-59",1.63956058619596
"GTEX-147F4-1426-SM-5LUA8","50-59",-0.0314906556634673
"GTEX-14A5I-1726-SM-5QGQ5","50-59",-0.64926862173431
"GTEX-14BIL-1326-SM-5O9CZ","50-59",-1.01376561411246
"GTEX-14C38-1526-SM-5RQJ7","50-59",0.460861701420909
"GTEX-14E1K-0326-SM-5S2PE","50-59",-0.303720812673608
"GTEX-14PHX-0526-SM-664NW","50-59",0.206735076264364
"GTEX-15SZO-1226-SM-6LPIP","50-59",-0.0970167748882209
"GTEX-17HGU-1826-SM-7IGQM","50-59",1.07650324958797
"GTEX-17HHE-0126-SM-79398","50-59",1.03044276780575
"GTEX-17HII-1026-SM-7IGLY","50-59",-0.908401562915708
"GTEX-18465-1626-SM-7LG6N","50-59",-1.45297159920644
"GTEX-18A7A-1526-SM-72D69","50-59",0.262472787214866
"GTEX-1A32A-0826-SM-72D5C","50-59",-0.772983724360579
"GTEX-1A8FM-1226-SM-7IGMD","50-59",-0.631683435008824
"GTEX-1AMFI-0826-SM-731DV","50-59",-0.627788535234973
"GTEX-1B8SG-1326-SM-79ONT","50-59",1.22206242033216
"GTEX-1B933-1226-SM-731DW","50-59",0.973079345444942
"GTEX-1C6VQ-1626-SM-79OO1","50-59",0.72197245877544
"GTEX-1E2YA-1226-SM-7MGY3","50-59",1.17554294547724
"GTEX-1F75A-1626-SM-9JGGT","50-59",-2.40546404528046
"GTEX-1GN1U-0926-SM-9WPPY","50-59",-0.665578253146423
