"GTEXID","Age","PTGDS"
"GTEX-13FTW-1126-SM-5J2NV","40-49",0.234832602193668
"GTEX-13NYB-1026-SM-5IFH3","40-49",0.557166953528524
"GTEX-14AS3-0126-SM-5Q5F4","40-49",-1.47371017850541
"GTEX-14JG1-1626-SM-664NH","40-49",0.160699777987783
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",-0.134866431183559
"GTEX-15RJE-1126-SM-6LPI5","40-49",0.566546304528593
"GTEX-15SHU-1826-SM-7KUKS","40-49",-1.14439428219223
"GTEX-15UF7-0426-SM-HAV2G","40-49",-0.0750391266806865
"GTEX-17EVP-1026-SM-7IGOZ","40-49",-0.00685150226625871
"GTEX-17MF6-1126-SM-7DUFS","40-49",1.10976289784232
"GTEX-1B932-1426-SM-793AN","40-49",-0.357466403625253
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",0.148162467464729
"GTEX-1EN7A-2026-SM-7MGY4","40-49",1.48791970585583
"GTEX-1GF9X-0426-SM-7MKHN","40-49",-1.17870114708648
"GTEX-1H11D-0826-SM-9OSWB","40-49",-1.58008468317363
"GTEX-1H1DF-1326-SM-9WPPR","40-49",-1.53866296709061
"GTEX-1HBPH-2626-SM-A96TV","40-49",0.063057347722456
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",0.063057347722456
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",0.910357045413983
"GTEX-1MJIX-0726-SM-DPRYP","40-49",-1.04542480559306
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",1.60433680546203
"GTEX-P78B-1326-SM-3P611","40-49",-1.81580151545341
"GTEX-Q2AG-1126-SM-48U1P","40-49",1.53926220084531
"GTEX-Q734-0326-SM-48U15","40-49",1.43058686145299
"GTEX-RWSA-1426-SM-47JXA","40-49",1.50540675713926
"GTEX-UPK5-1426-SM-4JBHH","40-49",-0.371372075928806
"GTEX-W5X1-0126-SM-HLJRF","40-49",0.723280913832843
"GTEX-WFON-1726-SM-4LVMQ","40-49",-0.438028554696193
"GTEX-WYVS-1926-SM-4PQZ2","40-49",1.07923537485115
"GTEX-WZTO-0626-SM-4PQYY","40-49",-1.07692570477928
"GTEX-X3Y1-2726-SM-4PQZH","40-49",0.693804914119917
"GTEX-Y5LM-0426-SM-4VBRO","40-49",-1.74125079843564
"GTEX-YB5E-0326-SM-5IFHU","40-49",-0.72137093919906
"GTEX-YEC4-0826-SM-5P9FV","40-49",-1.03242908745792
"GTEX-YFC4-1526-SM-5IFJS","40-49",-0.864652902479904
"GTEX-Z9EW-0426-SM-5CVM9","40-49",-0.403993553437863
"GTEX-ZAB4-0826-SM-5LU9D","40-49",1.61332495566447
"GTEX-ZPU1-0826-SM-57WG2","40-49",-1.7324660276294
"GTEX-11DXZ-0126-SM-5EGGY","50-59",-2.23601298429063
"GTEX-11NUK-1226-SM-5P9GM","50-59",0.584306308820997
"GTEX-11ZVC-0726-SM-5FQT9","50-59",-0.985193916390834
"GTEX-12WSG-0626-SM-5FQTQ","50-59",-0.649737917485039
"GTEX-12WSI-0226-SM-5GCNA","50-59",0.063057347722456
"GTEX-12WSL-0226-SM-5CVMJ","50-59",-0.788475158840267
"GTEX-13112-1426-SM-5EGH8","50-59",0.415881166173171
"GTEX-131XE-0326-SM-5LZVO","50-59",1.1611537070492
"GTEX-131XH-0626-SM-5LZWH","50-59",0.866025363162279
"GTEX-132AR-0426-SM-5IFH8","50-59",1.67186328680446
"GTEX-139YR-0226-SM-5IFEM","50-59",0.628581028353955
"GTEX-13FLV-0326-SM-5N9DJ","50-59",1.79910749710642
"GTEX-13N11-0926-SM-5IJG2","50-59",-1.05205591720972
"GTEX-13NZ9-1326-SM-5MR3V","50-59",-0.869272479625577
"GTEX-13OVJ-1026-SM-5IFGI","50-59",0.063057347722456
"GTEX-13OVL-0726-SM-HAV29","50-59",0.063057347722456
"GTEX-13OW6-2626-SM-5IFF2","50-59",0.302133181565648
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",1.34700014159802
"GTEX-13SLX-1226-SM-5S2Q6","50-59",1.53841371599996
"GTEX-13VXU-0926-SM-5IFFH","50-59",0.37866791475021
"GTEX-13X6J-1826-SM-5TDCT","50-59",0.0440540800466201
"GTEX-144GL-1426-SM-5O9BO","50-59",-0.0441655211717732
"GTEX-145LU-1326-SM-5LU9N","50-59",0.225718388639471
"GTEX-145MF-0826-SM-5QGQA","50-59",-0.24363758316809
"GTEX-146FH-1526-SM-5NQBU","50-59",1.37682764410073
"GTEX-147F4-1426-SM-5LUA8","50-59",0.063057347722456
"GTEX-14A5I-1726-SM-5QGQ5","50-59",-1.84741271104971
"GTEX-14BIL-1326-SM-5O9CZ","50-59",1.54086458123282
"GTEX-14C38-1526-SM-5RQJ7","50-59",-1.03124732568934
"GTEX-14E1K-0326-SM-5S2PE","50-59",-1.3280194252452
"GTEX-14PHX-0526-SM-664NW","50-59",-1.0945150441087
"GTEX-15SZO-1226-SM-6LPIP","50-59",-0.893894849394514
"GTEX-17HGU-1826-SM-7IGQM","50-59",0.741233882469208
"GTEX-17HHE-0126-SM-79398","50-59",-0.502163131040035
"GTEX-17HII-1026-SM-7IGLY","50-59",-0.742885048410376
"GTEX-18465-1626-SM-7LG6N","50-59",0.186266707327633
"GTEX-18A7A-1526-SM-72D69","50-59",0.170378398856467
"GTEX-1A32A-0826-SM-72D5C","50-59",-0.167922264619202
"GTEX-1A8FM-1226-SM-7IGMD","50-59",-0.952712066685131
"GTEX-1AMFI-0826-SM-731DV","50-59",-1.13910858523976
"GTEX-1B8SG-1326-SM-79ONT","50-59",0.958646692558637
"GTEX-1B933-1226-SM-731DW","50-59",0.063057347722456
"GTEX-1C6VQ-1626-SM-79OO1","50-59",-0.228017145547902
"GTEX-1E2YA-1226-SM-7MGY3","50-59",0.671351249615485
"GTEX-1F75A-1626-SM-9JGGT","50-59",0.0341922574021036
"GTEX-1GN1U-0926-SM-9WPPY","50-59",-0.393555764917315
"GTEX-1GZ4I-1526-SM-9OSW9","50-59",1.16835548488919
"GTEX-1HB9E-0626-SM-AHZ4K","50-59",0.063057347722456
"GTEX-1HBPI-1026-SM-AHZ4N","50-59",1.25542916347786
"GTEX-1HCU7-1726-SM-B2LX9","50-59",-2.25135243679379
"GTEX-1HCVE-1526-SM-B2LWW","50-59",-0.403297299691816
"GTEX-1ICLY-1526-SM-C1YS4","50-59",0.882651643523767
"GTEX-1JMLX-1326-SM-CXZJO","50-59",0.0786470245627518
"GTEX-1K9T9-0726-SM-CXZJZ","50-59",0.170986599537659
"GTEX-1KAFJ-0726-SM-CXZKF","50-59",0.817383785836492
"GTEX-1KANB-2226-SM-DHXJW","50-59",0.0939529163978199
"GTEX-1KD5A-1226-SM-CXZK7","50-59",-0.0881752808637054
"GTEX-1LB8K-1926-SM-HLJQQ","50-59",1.50197629764213
"GTEX-1LGRB-0626-SM-CNNQH","50-59",-0.131982653657112
"GTEX-1LH75-0926-SM-EAZ5C","50-59",-2.329519727994
"GTEX-1LSNL-2026-SM-HLJQ4","50-59",0.811664140403853
"GTEX-1OJC4-1126-SM-HLJQI","50-59",-0.692880158220538
"GTEX-1QP66-0226-SM-DPRXS","50-59",-1.63231540375543
"GTEX-1S3DN-1126-SM-HLJQO","50-59",-1.63538610801074
"GTEX-O5YW-0826-SM-HK7A3","50-59",-1.36850198968249
"GTEX-OHPM-0826-SM-HLJRC","50-59",0.355677808571773
"GTEX-OXRK-1226-SM-HLJR8","50-59",0.260876805149425
"GTEX-QDVN-0826-SM-48TZ2","50-59",1.91649831767002
"GTEX-QEL4-1226-SM-447A4","50-59",1.05410099119809
"GTEX-QV44-0326-SM-C1YQX","50-59",-0.355348028915545
