"GTEXID","Age","PTGES3"
"GTEX-13FTW-1126-SM-5J2NV","40-49",0.00380878632491411
"GTEX-13NYB-1026-SM-5IFH3","40-49",0.642997617035468
"GTEX-14AS3-0126-SM-5Q5F4","40-49",0.0263870999269135
"GTEX-14JG1-1626-SM-664NH","40-49",-0.259316991062495
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",0.357876853987938
"GTEX-15RJE-1126-SM-6LPI5","40-49",-1.69800674917173
"GTEX-15SHU-1826-SM-7KUKS","40-49",-1.14118801574968
"GTEX-15UF7-0426-SM-HAV2G","40-49",-0.22180345808348
"GTEX-17EVP-1026-SM-7IGOZ","40-49",-0.0525501302997201
"GTEX-17MF6-1126-SM-7DUFS","40-49",-0.432218139710439
"GTEX-1B932-1426-SM-793AN","40-49",0.897180371935212
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",-0.878315571840339
"GTEX-1EN7A-2026-SM-7MGY4","40-49",-0.769251917289069
"GTEX-1GF9X-0426-SM-7MKHN","40-49",-0.665818314689234
"GTEX-1H11D-0826-SM-9OSWB","40-49",1.56969260156216
"GTEX-1H1DF-1326-SM-9WPPR","40-49",-0.114800850193926
"GTEX-1HBPH-2626-SM-A96TV","40-49",-0.713427938321651
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",1.25217173288819
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",-1.31443293006945
"GTEX-1MJIX-0726-SM-DPRYP","40-49",-2.7240297513996
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",0.0133713126585999
"GTEX-P78B-1326-SM-3P611","40-49",1.52972020993307
"GTEX-Q2AG-1126-SM-48U1P","40-49",-0.538059598307792
"GTEX-Q734-0326-SM-48U15","40-49",0.0263870999269135
"GTEX-RWSA-1426-SM-47JXA","40-49",-1.26415079165617
"GTEX-UPK5-1426-SM-4JBHH","40-49",0.899578098149908
"GTEX-W5X1-0126-SM-HLJRF","40-49",1.25986011320108
"GTEX-WFON-1726-SM-4LVMQ","40-49",-0.479599912274571
"GTEX-WYVS-1926-SM-4PQZ2","40-49",0.230697996263278
"GTEX-WZTO-0626-SM-4PQYY","40-49",-0.972767429888202
"GTEX-X3Y1-2726-SM-4PQZH","40-49",-0.333238599779882
"GTEX-Y5LM-0426-SM-4VBRO","40-49",1.5749844738826
"GTEX-YB5E-0326-SM-5IFHU","40-49",1.94169892183378
"GTEX-YEC4-0826-SM-5P9FV","40-49",-0.434207311259535
"GTEX-YFC4-1526-SM-5IFJS","40-49",1.68661327886673
"GTEX-Z9EW-0426-SM-5CVM9","40-49",1.02863917356358
"GTEX-ZAB4-0826-SM-5LU9D","40-49",-0.495576774097934
"GTEX-ZPU1-0826-SM-57WG2","40-49",1.22257206294524
"GTEX-11DXZ-0126-SM-5EGGY","50-59",-0.956168404559686
"GTEX-11NUK-1226-SM-5P9GM","50-59",-1.13442126407523
"GTEX-11ZVC-0726-SM-5FQT9","50-59",-0.266728976798834
"GTEX-12WSG-0626-SM-5FQTQ","50-59",1.18939159327822
"GTEX-12WSI-0226-SM-5GCNA","50-59",-0.282827136860084
"GTEX-12WSL-0226-SM-5CVMJ","50-59",0.381106526812749
"GTEX-13112-1426-SM-5EGH8","50-59",-0.930461539218299
"GTEX-131XE-0326-SM-5LZVO","50-59",0.0263870999269135
"GTEX-131XH-0626-SM-5LZWH","50-59",-1.96839029179051
"GTEX-132AR-0426-SM-5IFH8","50-59",0.0263870999269135
"GTEX-139YR-0226-SM-5IFEM","50-59",1.42293672504123
"GTEX-13FLV-0326-SM-5N9DJ","50-59",0.916560233567228
"GTEX-13N11-0926-SM-5IJG2","50-59",-0.0644262971382599
"GTEX-13NZ9-1326-SM-5MR3V","50-59",0.0263870999269135
"GTEX-13OVJ-1026-SM-5IFGI","50-59",0.0263870999269135
"GTEX-13OVL-0726-SM-HAV29","50-59",-0.846905971700576
"GTEX-13OW6-2626-SM-5IFF2","50-59",-0.221167504453812
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",0.0263870999269135
"GTEX-13SLX-1226-SM-5S2Q6","50-59",1.94374562222604
"GTEX-13VXU-0926-SM-5IFFH","50-59",-0.125753581868801
"GTEX-13X6J-1826-SM-5TDCT","50-59",-2.40757418024838
"GTEX-144GL-1426-SM-5O9BO","50-59",-0.90776324964138
"GTEX-145LU-1326-SM-5LU9N","50-59",-1.44150946658354
"GTEX-145MF-0826-SM-5QGQA","50-59",0.205093003811542
"GTEX-146FH-1526-SM-5NQBU","50-59",0.0263870999269135
"GTEX-147F4-1426-SM-5LUA8","50-59",-0.315301896432194
"GTEX-14A5I-1726-SM-5QGQ5","50-59",-0.414020070941105
"GTEX-14BIL-1326-SM-5O9CZ","50-59",0.494082085950118
"GTEX-14C38-1526-SM-5RQJ7","50-59",0.328347481521961
"GTEX-14E1K-0326-SM-5S2PE","50-59",0.599826279715886
"GTEX-14PHX-0526-SM-664NW","50-59",0.241404601644499
"GTEX-15SZO-1226-SM-6LPIP","50-59",0.412275666148973
"GTEX-17HGU-1826-SM-7IGQM","50-59",-0.454174303048832
"GTEX-17HHE-0126-SM-79398","50-59",1.26724139935844
"GTEX-17HII-1026-SM-7IGLY","50-59",0.242806565478688
"GTEX-18465-1626-SM-7LG6N","50-59",-0.929370019650821
"GTEX-18A7A-1526-SM-72D69","50-59",0.687291676680256
"GTEX-1A32A-0826-SM-72D5C","50-59",0.465830639972035
"GTEX-1A8FM-1226-SM-7IGMD","50-59",-0.142635350149435
"GTEX-1AMFI-0826-SM-731DV","50-59",1.38404824476551
"GTEX-1B8SG-1326-SM-79ONT","50-59",-0.07746720740296
"GTEX-1B933-1226-SM-731DW","50-59",-0.154954688838568
"GTEX-1C6VQ-1626-SM-79OO1","50-59",-0.0477930859208267
"GTEX-1E2YA-1226-SM-7MGY3","50-59",-0.847170689125054
"GTEX-1F75A-1626-SM-9JGGT","50-59",-1.9421754599298
"GTEX-1GN1U-0926-SM-9WPPY","50-59",-0.686716342289698
"GTEX-1GZ4I-1526-SM-9OSW9","50-59",-0.221221240539829
"GTEX-1HB9E-0626-SM-AHZ4K","50-59",2.16650398996225
"GTEX-1HBPI-1026-SM-AHZ4N","50-59",-0.259948270426364
"GTEX-1HCU7-1726-SM-B2LX9","50-59",0.68650187898386
"GTEX-1HCVE-1526-SM-B2LWW","50-59",-0.440979418193592
"GTEX-1ICLY-1526-SM-C1YS4","50-59",0.389998266683739
"GTEX-1JMLX-1326-SM-CXZJO","50-59",0.797612663331823
"GTEX-1K9T9-0726-SM-CXZJZ","50-59",0.151073089035979
"GTEX-1KAFJ-0726-SM-CXZKF","50-59",0.974459701939939
"GTEX-1KANB-2226-SM-DHXJW","50-59",0.238863361660738
"GTEX-1KD5A-1226-SM-CXZK7","50-59",1.68509930479347
"GTEX-1LB8K-1926-SM-HLJQQ","50-59",-1.1017395221116
"GTEX-1LGRB-0626-SM-CNNQH","50-59",1.23728082161632
"GTEX-1LH75-0926-SM-EAZ5C","50-59",0.463685223853054
"GTEX-1LSNL-2026-SM-HLJQ4","50-59",-0.539266918979846
"GTEX-1OJC4-1126-SM-HLJQI","50-59",-0.16538118066041
"GTEX-1QP66-0226-SM-DPRXS","50-59",0.170918915002852
"GTEX-1S3DN-1126-SM-HLJQO","50-59",-1.66331658434252
"GTEX-O5YW-0826-SM-HK7A3","50-59",-0.0863649589359122
"GTEX-OHPM-0826-SM-HLJRC","50-59",1.16702707200577
"GTEX-OXRK-1226-SM-HLJR8","50-59",1.50806313150642
"GTEX-QDVN-0826-SM-48TZ2","50-59",1.40843380998869
"GTEX-QEL4-1226-SM-447A4","50-59",1.58579159962412
"GTEX-QV44-0326-SM-C1YQX","50-59",0.423606428833871
"GTEX-QXCU-1826-SM-HLJS6","50-59",-2.95137724557604
"GTEX-R53T-0326-SM-48FEC","50-59",0.0263870999269135
"GTEX-RM2N-1926-SM-48FCU","50-59",0.079334784284472
"GTEX-RN64-1826-SM-48FDV","50-59",-0.767358563459725
"GTEX-RNOR-1426-SM-48FDJ","50-59",-1.0837438730753
"GTEX-RU72-1426-SM-46MUF","50-59",0.915509322038562
"GTEX-S32W-1926-SM-4AD63","50-59",1.79263483195027
"GTEX-S7SE-1326-SM-HLJRN","50-59",-0.831024921922017
"GTEX-SIU8-1226-SM-HLJRG","50-59",-0.232952202474693
"GTEX-T6MN-1226-SM-3NMA5","50-59",0.440346181531807
"GTEX-TKQ2-1726-SM-4DXUP","50-59",1.24506354227074
"GTEX-VUSG-0126-SM-4KL1X","50-59",0.470477896799965
"GTEX-WK11-1326-SM-4M9QU","50-59",-2.76126786021823
"GTEX-WL46-1726-SM-HAUZC","50-59",-1.19475724504302
"GTEX-WVLH-2126-SM-EYYWD","50-59",-1.71753244751834
"GTEX-WWYW-1026-SM-GQ1CM","50-59",0.0263870999269135
"GTEX-WY7C-0726-SM-4ONCB","50-59",1.31820601651969
"GTEX-X261-1726-SM-4PQYT","50-59",-0.197736365287287
"GTEX-XBEC-1526-SM-4AT68","50-59",-1.28769956115229
"GTEX-XPVG-1126-SM-HLJRE","50-59",-0.10253241579158
"GTEX-XXEK-1126-SM-4BRUX","50-59",1.44897073602235
"GTEX-Y111-0726-SM-EYYVM","50-59",-0.774830168311879
"GTEX-Y3IK-0326-SM-HLJRD","50-59",0.829594746587151
"GTEX-ZAB5-0426-SM-5CVMI","50-59",0.749510868453026
"GTEX-ZEX8-0826-SM-4WKHK","50-59",0.750448890125625
"GTEX-ZF2S-3026-SM-4WWCH","50-59",0.28935908243048
"GTEX-ZVP2-0626-SM-51MSO","50-59",-0.145199293709933
"GTEX-ZVT4-0626-SM-5E45T","50-59",0.854312449512974
"GTEX-ZZPU-0426-SM-5GZYH","50-59",-0.0554690267469125
"GTEX-111FC-1226-SM-HAV27","60-69",-2.42269202135526
"GTEX-11DXY-0526-SM-5EGGQ","60-69",-1.01307459428762
"GTEX-11EMC-0326-SM-HAV2K","60-69",0.907010422901167
"GTEX-11GSP-0626-SM-5986T","60-69",0.185051316460286
"GTEX-11NV4-1326-SM-5HL6V","60-69",-1.1030630600511
"GTEX-11OF3-0726-SM-5BC4Z","60-69",0.646936017955455
"GTEX-11TUW-1726-SM-5BC5C","60-69",-0.194554926812486
"GTEX-11WQC-0726-SM-5EQMR","60-69",1.03137133772665
"GTEX-11ZTS-1426-SM-5EQMM","60-69",-0.41365484450623
"GTEX-1212Z-0226-SM-59HLF","60-69",0.799662032841468
"GTEX-12696-0826-SM-5EGGE","60-69",-0.625825582153571
"GTEX-1269C-0626-SM-5FQSS","60-69",0.321727100007247
"GTEX-12WSD-1426-SM-5GCN9","60-69",-0.552714284179252
"GTEX-12WSM-0726-SM-5GCOW","60-69",-0.862761015082452
"GTEX-12ZZZ-1326-SM-59HKW","60-69",-3.29092292365541
"GTEX-13113-1326-SM-5GCOI","60-69",-0.863531540654218
"GTEX-131YS-1626-SM-5HL6C","60-69",-0.310254220922962
"GTEX-132NY-0926-SM-5P9G3","60-69",0.525966700075721
"GTEX-1399T-0826-SM-5IFES","60-69",0.446923694486613
"GTEX-139TS-1426-SM-5IFJD","60-69",0.956072857905074
"GTEX-139TU-0826-SM-5IJFG","60-69",-0.363202605190819
"GTEX-13FTZ-0726-SM-5IFFY","60-69",0.252223733685093
