"GTEXID","Age","TBXAS1"
"GTEX-13FTW-1126-SM-5J2NV","40-49",1.25970409385647
"GTEX-13NYB-1026-SM-5IFH3","40-49",-0.094931968623588
"GTEX-14AS3-0126-SM-5Q5F4","40-49",0.354889920021427
"GTEX-14JG1-1626-SM-664NH","40-49",-0.689015537879639
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",1.57510955064016
"GTEX-15RJE-1126-SM-6LPI5","40-49",-0.489911382361111
"GTEX-15SHU-1826-SM-7KUKS","40-49",-1.32040500294755
"GTEX-15UF7-0426-SM-HAV2G","40-49",0.0682583907535573
"GTEX-17EVP-1026-SM-7IGOZ","40-49",-1.2059939635367
"GTEX-17MF6-1126-SM-7DUFS","40-49",0.0682583907535573
"GTEX-1B932-1426-SM-793AN","40-49",1.83639989089118
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",0.0664097486707926
"GTEX-1EN7A-2026-SM-7MGY4","40-49",-0.339479660793489
"GTEX-1GF9X-0426-SM-7MKHN","40-49",1.69856329446473
"GTEX-1H11D-0826-SM-9OSWB","40-49",1.30515266917462
"GTEX-1H1DF-1326-SM-9WPPR","40-49",-1.62497223696861
"GTEX-1HBPH-2626-SM-A96TV","40-49",-0.952690555752824
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",1.95653950847371
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",-1.10716417719538
"GTEX-1MJIX-0726-SM-DPRYP","40-49",0.436049725356212
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",-1.63242099597398
"GTEX-P78B-1326-SM-3P611","40-49",0.417258334346694
"GTEX-Q2AG-1126-SM-48U1P","40-49",0.535993806743333
"GTEX-Q734-0326-SM-48U15","40-49",1.48509967214366
"GTEX-RWSA-1426-SM-47JXA","40-49",-0.28884652772046
"GTEX-UPK5-1426-SM-4JBHH","40-49",1.69581173784411
"GTEX-W5X1-0126-SM-HLJRF","40-49",0.802645131842842
"GTEX-WFON-1726-SM-4LVMQ","40-49",1.65521349814776
"GTEX-WYVS-1926-SM-4PQZ2","40-49",0.0682583907535573
"GTEX-WZTO-0626-SM-4PQYY","40-49",-1.43709296707607
"GTEX-X3Y1-2726-SM-4PQZH","40-49",1.73240267846411
"GTEX-Y5LM-0426-SM-4VBRO","40-49",1.5691441733163
"GTEX-YB5E-0326-SM-5IFHU","40-49",0.0682583907535573
"GTEX-YEC4-0826-SM-5P9FV","40-49",0.66870568400325
"GTEX-YFC4-1526-SM-5IFJS","40-49",-0.324685468288467
"GTEX-Z9EW-0426-SM-5CVM9","40-49",1.18750169932983
"GTEX-ZAB4-0826-SM-5LU9D","40-49",1.84526344731101
"GTEX-ZPU1-0826-SM-57WG2","40-49",1.28064998018552
"GTEX-11DXZ-0126-SM-5EGGY","50-59",0.81547775530553
"GTEX-11NUK-1226-SM-5P9GM","50-59",-1.20570468020873
"GTEX-11ZVC-0726-SM-5FQT9","50-59",-0.968301533622182
"GTEX-12WSG-0626-SM-5FQTQ","50-59",1.2396443733227
"GTEX-12WSI-0226-SM-5GCNA","50-59",-1.68597208190426
"GTEX-12WSL-0226-SM-5CVMJ","50-59",0.732309221351381
"GTEX-13112-1426-SM-5EGH8","50-59",-1.44134726085032
"GTEX-131XE-0326-SM-5LZVO","50-59",0.0682583907535573
"GTEX-131XH-0626-SM-5LZWH","50-59",-1.04767964334721
"GTEX-132AR-0426-SM-5IFH8","50-59",1.96165257515499
"GTEX-139YR-0226-SM-5IFEM","50-59",0.0682583907535573
"GTEX-13FLV-0326-SM-5N9DJ","50-59",0.363354136587309
